timestamp,locomotiveType,locomotiveId,demoScenario,speedKmh,speedLimitKmh,engineTempC,oilTempC,brakePressureBar,fuelLevelPct,tractionCurrentA,batteryVoltageV,lineVoltageV,faultCodeCount,signalQualityPct,vibrationMmS,lat,lon,healthScore,healthClass,healthStatus
"2026-04-03T22:28:38.749Z","KZ8A","KZ8A-SM-1","normal",61.985,80,68.050,60.050,5,,427.480,,25007.998,0,98,2.023,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:39.750Z","KZ8A","KZ8A-SM-1","normal",61.938,80,68.100,60.100,5,,434.844,,25015.983,0,98,2.045,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:40.750Z","KZ8A","KZ8A-SM-1","normal",61.861,80,68.150,60.150,5,,441.976,,25023.942,0,98,2.068,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:41.751Z","KZ8A","KZ8A-SM-1","normal",61.754,80,68.200,60.200,5,,448.766,,25031.864,0,98,2.090,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:42.751Z","KZ8A","KZ8A-SM-1","normal",61.617,80,68.249,60.250,5,,455.106,,25039.734,0,98,2.113,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:43.751Z","KZ8A","KZ8A-SM-1","normal",61.450,80,68.299,60.300,5,,460.898,,25047.541,0,98,2.135,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:44.751Z","KZ8A","KZ8A-SM-1","normal",61.253,80,68.348,60.350,5,,466.053,,25055.271,0,98,2.156,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:45.751Z","KZ8A","KZ8A-SM-1","normal",61.028,80,68.397,60.400,5,,470.488,,25062.913,0,98,2.178,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:46.751Z","KZ8A","KZ8A-SM-1","normal",60.776,80,68.446,60.450,5,,474.136,,25070.455,0,98,2.199,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:47.751Z","KZ8A","KZ8A-SM-1","normal",60.496,80,68.495,60.500,5,,476.939,,25077.884,0,98,2.220,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:48.751Z","KZ8A","KZ8A-SM-1","normal",60.190,80,68.543,60.550,5,,478.854,,25085.188,0,98,2.240,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:49.751Z","KZ8A","KZ8A-SM-1","normal",59.859,80,68.591,60.600,5,,479.850,,25092.356,0,98,2.259,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:50.751Z","KZ8A","KZ8A-SM-1","normal",59.503,80,68.639,60.650,5,,479.912,,25099.376,0,98,2.279,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:51.751Z","KZ8A","KZ8A-SM-1","normal",59.125,80,68.686,60.700,5,,479.039,,25106.237,0,98,2.297,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:52.752Z","KZ8A","KZ8A-SM-1","normal",58.724,80,68.733,60.750,5,,477.245,,25112.928,0,98,2.315,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:53.752Z","KZ8A","KZ8A-SM-1","normal",58.303,80,68.779,60.800,5,,474.558,,25119.439,0,98,2.332,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:54.752Z","KZ8A","KZ8A-SM-1","normal",57.862,80,68.825,60.850,5,,471.019,,25125.759,0,98,2.349,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:55.752Z","KZ8A","KZ8A-SM-1","normal",57.403,80,68.870,60.900,5,,466.684,,25131.877,0,98,2.365,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:56.752Z","KZ8A","KZ8A-SM-1","normal",56.927,80,68.915,60.950,5,,461.621,,25137.784,0,98,2.380,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:57.752Z","KZ8A","KZ8A-SM-1","normal",56.437,80,68.959,61,5,,455.908,,25143.471,0,98,2.394,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:58.752Z","KZ8A","KZ8A-SM-1","normal",55.932,80,69.002,61.050,5,,449.635,,25148.929,0,98,2.408,51.120,71.430,100,"A","normal"
"2026-04-03T22:28:59.752Z","KZ8A","KZ8A-SM-1","normal",55.416,80,69.045,61.100,5,,442.900,,25154.148,0,98,2.421,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:00.752Z","KZ8A","KZ8A-SM-1","normal",54.888,80,69.088,61.150,5,,435.807,,25159.120,0,98,2.433,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:01.752Z","KZ8A","KZ8A-SM-1","normal",54.352,80,69.129,61.200,5,,428.467,,25163.838,0,98,2.444,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:02.752Z","KZ8A","KZ8A-SM-1","normal",53.809,80,69.170,61.250,5,,420.996,,25168.294,0,98,2.454,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:03.752Z","KZ8A","KZ8A-SM-1","normal",53.260,80,69.210,61.300,5,,413.508,,25172.481,0,98,2.463,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:04.752Z","KZ8A","KZ8A-SM-1","normal",52.707,80,69.250,61.350,5,,406.122,,25176.392,0,98,2.471,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:05.753Z","KZ8A","KZ8A-SM-1","normal",52.152,80,69.288,61.400,5,,398.953,,25180.020,0,98,2.478,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:06.753Z","KZ8A","KZ8A-SM-1","normal",51.597,80,69.326,61.450,5,,392.112,,25183.361,0,98,2.484,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:07.753Z","KZ8A","KZ8A-SM-1","normal",51.043,80,69.363,61.500,5,,385.706,,25186.408,0,98,2.489,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:08.753Z","KZ8A","KZ8A-SM-1","normal",50.492,80,69.399,61.550,5,,379.836,,25189.157,0,98,2.493,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:09.753Z","KZ8A","KZ8A-SM-1","normal",49.945,80,69.435,61.600,5,,374.592,,25191.603,0,98,2.497,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:10.753Z","KZ8A","KZ8A-SM-1","normal",49.405,80,69.469,61.650,5,,370.057,,25193.743,0,98,2.499,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:11.753Z","KZ8A","KZ8A-SM-1","normal",48.872,80,69.503,61.700,5,,366.301,,25195.573,0,98,2.500,51.120,71.430,100,"A","normal"
"2026-04-03T22:29:12.753Z","KZ8A","KZ8A-SM-1","normal",48.350,80,69.535,61.750,5,,363.383,,25197.090,0,98,2.500,51.120,71.430,100,"A","normal"
